id,comprobante_cod,persona_cod
1,212,28
2,213,32
3,214,24
4,239,26
5,216,43
6,217,24
7,219,66
8,220,73
9,211,3
10,221,4
11,222,6
12,218,54
13,226,11
14,227,12
15,228,13
16,229,28
17,230,15
18,231,17
19,233,18
20,234,20
21,235,22
22,244,30
23,232,19
24,245,33
25,246,20
26,247,54
27,248,17
28,249,4
29,250,34
30,251,8
31,252,9
32,253,35
33,254,36
34,255,37
35,256,39
36,257,21
37,258,15
38,259,18
39,260,40
40,261,41
41,262,23
42,263,24
43,264,42
44,265,73
45,266,66
46,267,5
47,269,10
48,270,11
49,271,13
50,268,6
51,272,26
52,273,27
53,274,38
54,4897,29
55,4898,29
56,4899,29
57,4900,29
58,4901,29
59,215,3
60,223,8
61,224,7
62,225,9
63,236,23
64,237,20
65,238,5
66,240,27
67,241,25
68,242,21
69,243,10
70,275,54
71,276,35
72,277,34
73,278,39
74,279,17
75,280,4
76,281,19
77,282,66
78,283,21
79,284,5
80,285,37
81,286,12
82,287,20
83,288,33
84,289,28
85,290,15
86,291,41
87,292,8
88,293,9
89,294,24
90,295,42
91,296,6
92,297,10
93,298,11
94,299,11
95,300,13
96,301,22
97,2,16
98,1,16
99,3,16
100,4,16
101,302,26
102,303,38
103,304,27
104,4902,29
105,4903,29
106,4904,29
107,5,16
108,305,3
109,306,35
110,307,44
111,308,54
112,309,66
113,310,73
114,311,5
115,312,8
116,313,9
117,314,36
118,315,39
119,316,12
120,318,15
121,319,23
122,320,19
123,321,20
124,322,33
125,323,34
126,324,25
127,325,6
128,326,13
129,327,24
130,317,28
131,328,10
132,329,11
133,330,26
134,331,27
135,332,38
136,333,30
137,334,3
138,335,66
139,336,73
140,337,37
141,338,5
142,339,8
143,340,9
144,341,21
145,342,45
146,344,12
147,345,28
148,346,15
149,347,41
150,348,40
151,349,20
152,350,33
153,351,35
154,352,34
155,353,17
156,354,39
157,356,18
158,357,19
159,358,24
160,359,42
161,360,6
162,361,10
163,362,11
164,363,13
165,6,16
166,7,16
167,364,38
168,343,27
169,355,26
170,4906,29
171,4905,29
172,8,16
173,365,34
174,366,25
175,367,24
176,369,54
177,371,73
178,373,5
179,374,6
180,375,39
181,376,8
182,377,9
183,378,10
184,379,11
185,380,37
186,381,36
187,382,21
188,383,26
189,384,27
190,385,38
191,386,12
192,387,28
193,388,17
194,389,20
195,390,33
196,392,18
197,393,19
198,394,35
199,395,23
200,396,13
201,397,46
202,4907,29
203,9,16
204,10,16
205,11,16
206,12,16
207,13,16
208,368,42
209,398,15
210,370,66
211,372,3
212,391,22
213,399,35
214,400,24
215,401,42
216,402,54
217,403,66
218,404,73
219,405,34
220,406,6
221,407,40
222,408,8
223,409,9
224,410,10
225,411,11
226,412,39
227,413,36
228,414,26
229,14,16
230,15,16
231,16,16
232,415,27
233,416,38
234,417,12
235,418,28
236,419,37
237,420,20
238,421,33
239,422,15
240,423,21
241,424,17
242,425,18
243,426,19
244,427,13
245,4908,29
246,428,34
247,429,24
248,430,42
249,432,66
250,433,73
251,434,5
252,435,6
253,436,8
254,437,9
255,438,10
256,439,11
257,440,12
258,441,38
259,442,28
260,443,26
261,444,15
262,445,17
263,446,21
264,447,18
265,448,19
266,449,20
267,450,33
268,4909,29
269,4910,29
270,4911,29
271,451,3
272,431,54
273,452,13
274,17,16
275,18,16
276,453,54
277,454,66
278,455,73
279,456,5
280,457,37
281,458,8
282,459,9
283,460,39
284,462,35
285,463,36
286,464,34
287,465,17
288,466,15
289,467,26
290,469,18
291,470,20
292,471,25
293,472,6
294,473,10
295,475,13
296,476,11
297,461,21
298,477,33
299,478,30
300,4912,29
301,479,41
302,480,23
303,468,38
304,474,27
305,481,40
306,482,43
307,483,73
308,484,5
309,487,19
310,488,23
311,489,35
312,490,34
313,491,66
314,492,8
315,493,12
316,494,28
317,495,21
318,496,15
319,497,20
320,498,33
321,499,23
322,500,24
323,501,42
324,502,6
325,503,10
326,504,11
327,505,13
328,485,17
329,486,26
330,506,27
331,507,38
332,4913,29
333,19,16
334,20,16
335,508,3
336,509,9
337,510,41
338,511,73
339,513,5
340,514,18
341,515,19
342,516,17
343,517,35
344,518,39
345,21,16
346,22,16
347,519,20
348,520,33
349,521,36
350,522,37
351,523,66
352,524,12
353,525,8
354,526,9
355,528,21
356,529,44
357,530,24
358,531,42
359,532,10
360,533,11
361,534,13
362,535,23
363,512,26
364,536,27
365,537,38
366,538,6
367,4914,29
368,539,15
369,540,3
370,544,21
371,542,8
372,527,28
373,548,28
374,550,20
375,549,15
376,551,33
377,543,9
378,545,36
379,547,12
380,552,35
381,553,54
382,555,39
383,556,34
384,558,18
385,559,19
386,560,25
387,561,24
388,562,42
389,563,6
390,564,10
391,565,11
392,566,13
393,23,16
394,24,16
395,541,5
396,570,23
397,569,23
398,4915,29
399,557,17
400,554,26
401,571,66
402,568,47
403,567,27
404,25,16
405,573,66
406,574,5
407,575,8
408,576,9
409,577,21
410,578,36
411,580,28
412,581,44
413,582,37
414,583,33
415,584,20
416,585,73
417,586,24
418,587,42
419,588,54
420,590,6
421,591,17
422,592,10
423,593,11
424,594,11
425,595,34
426,596,40
427,598,13
428,599,35
429,600,39
430,601,18
431,602,19
432,589,26
