id,comprobante_cod,persona_cod
1,211,4
2,212,5
3,213,3
4,238,34
5,215,6
6,216,3
7,218,8
8,219,9
9,210,1
10,220,10
11,221,12
12,217,7
13,225,17
14,226,18
15,227,19
16,228,4
17,229,20
18,230,21
19,232,22
20,233,24
21,234,26
22,243,41
23,231,23
24,244,50
25,245,24
26,246,7
27,247,21
28,248,10
29,249,51
30,250,14
31,251,15
32,252,52
33,253,53
34,254,54
35,255,56
36,256,25
37,257,20
38,258,22
39,259,57
40,260,58
41,261,27
42,262,3
43,263,59
44,264,9
45,265,8
46,266,11
47,268,16
48,269,17
49,270,19
50,267,12
51,271,34
52,272,35
53,273,55
54,4892,40
55,4893,40
56,4894,40
57,4895,40
58,4896,40
59,214,1
60,222,14
61,223,13
62,224,15
63,235,27
64,236,24
65,237,11
66,239,35
67,240,33
68,241,25
69,242,16
70,274,7
71,275,52
72,276,51
73,277,56
74,278,21
75,279,10
76,280,23
77,281,8
78,282,25
79,283,11
80,284,54
81,285,18
82,286,24
83,287,50
84,288,4
85,289,20
86,290,58
87,291,14
88,292,15
89,293,3
90,294,59
91,295,12
92,296,16
93,297,17
94,298,17
95,299,19
96,300,26
97,2,20506421781
98,1,20506421781
99,3,20506421781
100,4,20506421781
101,301,34
102,302,55
103,303,35
104,4897,40
105,4898,40
106,4899,40
107,5,20506421781
108,304,1
109,305,52
110,306,60
111,307,7
112,308,8
113,309,9
114,310,11
115,311,14
116,312,15
117,313,53
118,314,56
119,315,18
120,317,20
121,318,27
122,319,23
123,320,24
124,321,50
125,322,51
126,323,33
127,324,12
128,325,19
129,326,3
130,316,4
131,327,16
132,328,17
133,329,34
134,330,35
135,331,55
136,332,41
137,333,1
138,334,8
139,335,9
140,336,54
141,337,11
142,338,14
143,339,15
144,340,25
145,341,61
146,343,18
147,344,4
148,345,20
149,346,58
150,347,57
151,348,24
152,349,50
153,350,52
154,351,51
155,352,21
156,353,56
157,355,22
158,356,23
159,357,3
160,358,59
161,359,12
162,360,16
163,361,17
164,362,19
165,6,20506421781
166,7,20506421781
167,363,55
168,342,35
169,354,34
170,4901,40
171,4900,40
172,8,20506421781
173,364,51
174,365,33
175,366,3
176,368,7
177,370,9
178,372,11
179,373,12
180,374,56
181,375,14
182,376,15
183,377,16
184,378,17
185,379,54
186,380,53
187,381,25
188,382,34
189,383,35
190,384,55
191,385,18
192,386,4
193,387,21
194,388,24
195,389,50
196,391,22
197,392,23
198,393,52
199,394,27
200,395,19
201,396,62
202,4902,40
203,9,20506421781
204,10,20506421781
205,11,20506421781
206,12,20506421781
207,13,20506421781
208,367,59
209,397,20
210,369,8
211,371,1
212,390,26
213,398,52
214,399,3
215,400,59
216,401,7
217,402,8
218,403,9
219,404,51
220,405,12
221,406,57
222,407,14
223,408,15
224,409,16
225,410,17
226,411,56
227,412,53
228,413,34
229,14,20506421781
230,15,20506421781
231,16,20506421781
232,414,35
233,415,55
234,416,18
235,417,4
236,418,54
237,419,24
238,420,50
239,421,20
240,422,25
241,423,21
242,424,22
243,425,23
244,426,19
245,4903,40
246,427,51
247,428,3
248,429,59
249,431,8
250,432,9
251,433,11
252,434,12
253,435,14
254,436,15
255,437,16
256,438,17
257,439,18
258,440,55
259,441,4
260,442,34
261,443,20
262,444,21
263,445,25
264,446,22
265,447,23
266,448,24
267,449,50
268,4904,40
269,4905,40
270,4906,40
271,450,1
272,430,7
273,451,19
274,17,20506421781
275,18,20506421781
276,452,7
277,453,8
278,454,9
279,455,11
280,456,54
281,457,14
282,458,15
283,459,56
284,461,52
285,462,53
286,463,51
287,464,21
288,465,20
289,466,34
290,468,22
291,469,24
292,470,33
293,471,12
294,472,16
295,474,19
296,475,17
297,460,25
298,476,50
299,477,41
300,4907,40
301,478,58
302,479,27
303,467,55
304,473,35
305,480,57
306,481,6
307,482,9
308,483,11
309,486,23
310,487,27
311,488,52
312,489,51
313,490,8
314,491,14
315,492,18
316,493,4
317,494,25
318,495,20
319,496,24
320,497,50
321,498,27
322,499,3
323,500,59
324,501,12
325,502,16
326,503,17
327,504,19
328,484,21
329,485,34
330,505,35
331,506,55
332,4908,40
333,19,20506421781
334,20,20506421781
335,507,1
336,508,15
337,509,58
338,510,9
339,512,11
340,513,22
341,514,23
342,515,21
343,516,52
344,517,56
345,21,20506421781
346,22,20506421781
347,518,24
348,519,50
349,520,53
350,521,54
351,522,8
352,523,18
353,524,14
354,525,15
