id,producto_item_nombre,comprobante_cod,unidad_item_nombre,cantidad,peso,precio
1,"POLLO C/M",211,NULL,30,59.9,461.23
2,"POLLO LISIADO",211,NULL,8,18,126
5,"POLLO C/M",212,NULL,1,59.9,461.23
6,"POLLO C/M",213,NULL,1,59.9,461.23
45,"POLLO C/M",238,POLLOS,70,140.3,954.04
48,"POLLO S/M",215,POLLOS,30,47.6,395.08
49,PECHUGA,215,UNID,20,15,127.5
50,"POLLO S/M",216,POLLOS,20,37,314.5
51,MENUDO,216,KG,4,4,16
54,"POLLO C/M",218,POLLOS,120,226.5,1608.15
55,"POLLO C/M",219,POLLOS,8,16.4,126.28
56,"POLLO C/M",210,POLLOS,100,188,1334.8
57,"POLLO CARNE",210,KG,1,2.9,19.72
58,"POLLO C/M",220,POLLOS,14,27.6,195.96
59,"POLLO C/M",221,POLLOS,15,31.4,241.78
60,"POLLO C/M",217,POLLOS,20,38,281.2
61,"POLLO CARNE",217,POLLOS,2,3.7,25.16
62,"POLLO S/M",225,POLLOS,1,1.85,15.73
63,"POLLO C/M",226,POLLOS,50,220,1562
64,"POLLO C/M",227,POLLOS,10,16.5,123.75
65,"POLLO C/M",228,POLLOS,16,30.7,236.39
66,"POLLO LISIADO",228,POLLOS,6,13.1,90.39
67,"POLLO C/M",229,POLLOS,60,134.6,1009.5
68,"POLLO C/M",230,POLLOS,20,43.4,299.46
70,"POLLO C/M",232,POLLOS,25,50.5,373.7
71,"POLLO S/M",233,POLLOS,30,54,442.8
72,MENUDO,233,KG,1,5,15
74,"POLLO S/M",234,POLLOS,2,3.5,24.15
81,POLLO,243,POLLOS,35,0,0
82,PECHUGA,243,KG,1,8.2,68.06
83,ESPINAZO,243,KG,1,21.3,48.99
84,PIERNAS,243,KG,1,19.15,143.63
86,"POLLO C/M",231,POLLOS,15,30,222
92,"POLLO S/M",244,POLLOS,14,25.1,213.35
93,MENUDO,244,KG,1,4,16
94,"POLLO S/M",245,POLLOS,14,25.1,213.35
95,MENUDO,245,KG,1,5,20
96,"POLLO C/M",246,POLLOS,10,18.2,134.68
97,"POLLO CARNE",246,POLLOS,2,4.4,29.92
98,"POLLO C/M",247,POLLOS,22,47,324.3
99,MENUDO,247,KG,1,2,5
100,"POLLO C/M",248,POLLOS,14,28.2,200.22
101,"POLLO C/M",249,POLLOS,5,10,73
102,"POLLO C/M",250,POLLOS,40,72.5,558.25
103,"POLLO C/M",251,POLLOS,15,26.5,204.05
104,"POLLO C/M",252,POLLOS,6,12.6,93.24
105,"POLLO C/M",253,POLLOS,10,21,157.5
106,"POLLO C/M",254,POLLOS,5,11.5,82.8
